Depth	Temperature
m	'C
65.05	20.4864
65.10	20.4891
65.15	20.4904
65.20	20.4944
65.25	20.498
65.30	20.5028
65.35	20.5079
65.40	20.5099
65.45	20.5118
65.50	20.5123
65.55	20.5119
65.60	20.5131
65.65	20.5118
65.70	20.5114
65.75	20.5122
65.80	20.5123
65.85	20.5133
65.90	20.5122
65.95	20.5121
66.00	20.5141
66.05	20.5153
66.10	20.5168
66.15	20.5208
66.20	20.522
66.25	20.5252
66.30	20.5266
66.35	20.5274
66.40	20.5299
66.45	20.5324
66.50	20.5334
66.55	20.5363
66.60	20.5398
66.65	20.5429
66.70	20.5449
66.75	20.5473
66.80	20.5485
66.85	20.5495
66.90	20.5468
66.95	20.5481
67.00	20.5507
67.05	20.5522
67.10	20.5532
67.15	20.5532
67.20	20.5549
67.25	20.5568
67.30	20.5589
67.35	20.5607
67.40	20.5639
67.45	20.5671
67.50	20.5672
67.55	20.5693
67.60	20.5708
67.65	20.5737
67.70	20.5756
67.75	20.5764
67.80	20.5781
67.85	20.5801
67.90	20.5828
67.95	20.5834
68.00	20.5829
68.05	20.584
68.10	20.5847
68.15	20.5867
68.20	20.5875
68.25	20.589
68.30	20.59
68.35	20.5941
68.40	20.5963
68.45	20.5979
68.50	20.599
68.55	20.5999
68.60	20.6011
68.65	20.6017
68.70	20.6026
68.75	20.6028
68.80	20.6043
68.85	20.6052
68.90	20.6065
68.95	20.6072
69.00	20.6083
69.05	20.6096
69.10	20.6118
69.15	20.6135
69.20	20.6144
69.25	20.6164
69.30	20.6173
69.35	20.6177
69.40	20.6192
69.45	20.6221
69.50	20.6242
69.55	20.627
69.60	20.6279
69.65	20.6298
69.70	20.6317
69.75	20.6335
69.80	20.6353
69.85	20.6372
69.90	20.6395
69.95	20.6394
70.00	20.6424
70.05	20.6441
70.10	20.6452
70.15	20.6477
70.20	20.6487
70.25	20.6501
70.30	20.6507
70.35	20.6518
70.40	20.6505
70.45	20.6535
70.50	20.6541
70.55	20.6561
70.60	20.6576
70.65	20.6608
70.70	20.6615
70.75	20.6636
70.80	20.6676
70.85	20.6702
70.90	20.6729
70.95	20.6749
71.00	20.6757
71.05	20.6772
71.10	20.6784
71.15	20.6784
71.20	20.6802
71.25	20.6806
71.30	20.6816
71.35	20.6828
71.40	20.6846
71.45	20.6872
71.50	20.6893
71.55	20.6899
71.60	20.6908
71.65	20.6923
71.70	20.6913
71.75	20.6928
71.80	20.6932
71.85	20.6963
71.90	20.699
71.95	20.6981
72.00	20.6999
72.05	20.6994
72.10	20.6984
72.15	20.6987
72.20	20.6994
72.25	20.6993
72.30	20.7021
72.35	20.7037
72.40	20.7075
72.45	20.708
72.50	20.7074
72.55	20.7079
72.60	20.7084
72.65	20.7119
72.70	20.7129
72.75	20.7139
72.80	20.7166
72.85	20.7195
72.90	20.7216
72.95	20.7242
73.00	20.7229
73.05	20.7248
73.10	20.7255
73.15	20.7267
73.20	20.7289
73.25	20.7295
73.30	20.7317
73.35	20.7351
73.40	20.7367
73.45	20.7384
73.50	20.7395
73.55	20.7407
73.60	20.7402
73.65	20.7406
73.70	20.7434
73.75	20.7473
73.80	20.7485
73.85	20.753
73.90	20.754
73.95	20.7544
74.00	20.755
74.05	20.7567
74.10	20.7576
74.15	20.7611
74.20	20.7616
74.25	20.7645
74.30	20.7657
74.35	20.7663
74.40	20.7677
74.45	20.7692
74.50	20.7697
74.55	20.773
74.60	20.7756
